humbs.db,humbs.d
42032861,539
48089276,53
35731850,540
42479059,541
42479059,542
42479059,543
42479059,544
40697914,546
40697914,547
29965999,548
29965999,549
48089276,54
29965999,550
29965999,551
29965999,552
29965999,553
29965999,554
29965999,555
30700286,557
30700286,558
30700286,559
48089276,55
30700286,560
30847464,561
30847464,562
30847464,563
30847464,564
30847464,565
30847464,566
30847464,567
30847464,568
37717874,569
47816165,56
37717874,570
37717874,571
42221267,572
38545142,573
33618665,574
33618665,575
35267328,576
35267328,577
41348905,578
41348905,579
47816165,57
30817689,580
30817689,581
41914249,582
41914249,583
41914249,584
41812002,585
41812002,586
41812002,587
41235605,588
47816165,58
41914249,590
41914249,591
28071745,592
32629903,593
32629903,594
21071357,595
21071357,596
41739037,597
11964096,598
11964096,599
48082826,59
47628515,5
11964096,601
41823165,602
41823165,603
41823165,604
41583234,605
41583234,606
36717105,607
36717105,608
13732365,609
13732365,610
13732365,611
18090352,612
18090352,613
18090352,614
18090352,615
18090352,616
18090352,617
18090352,618
18090352,619
48082826,61
41127470,620
41127470,621
41127470,622
41127470,623
41127470,624
41127470,625
41127470,626
37316310,627
37316310,628
37316310,629
48082826,62
37316310,630
37316310,631
37316310,632
37316310,633
26879772,634
15558688,635
15558688,636
15558688,637
15558688,638
15558688,639
48082826,63
15558688,640
15558688,641
15558688,642
15558688,643
15558688,644
38512212,645
36146152,646
40449728,647
40449728,648
40449728,649
30554337,64
40449728,650
40449728,651
40449728,652
40449728,653
40449728,654
40449728,655
40225287,656
40225287,657
15558688,658
15558688,659
27030099,65
15558688,660
15558688,661
15558688,662
15558688,663
15558688,665
15558688,666
15558688,667
15558688,668
15558688,669
27030099,66
15558688,670
15558688,671
15558688,672
15558688,673
17166775,674
17166775,675
40215723,677
40215723,678
40215723,679
47816165,67
40215723,680
40215723,681
40215723,682
40215723,683
40215723,684
40073981,685
40073981,686
28946964,691
35692575,692
35692575,693
35692575,694
35692575,695
35692575,696
35692575,697
35692575,698
47628515,6
40034791,701
40038947,702
37732671,704
37732671,705
39794822,706
39794822,707
39794822,708
39794822,709
16872279,70
39794822,710
28826907,715
14586705,716
14586705,717
14586705,718
14586705,719
16872279,71
14586705,720
14586705,721
14586705,722
14586705,723
14586705,724
23054202,725
23054202,726
38177543,727
38177543,728
38177543,729
16872279,72
19592332,730
19592332,731
19592332,732
19592332,733
19592332,734
37922924,735
37922924,736
36491263,737
36491263,738
33559362,739
46894270,73
33559362,740
33559362,741
33559362,742
33559362,743
16865783,744
16865783,745
16865783,746
16865783,747
16865783,748
16865783,749
46894270,74
16865783,750
16865783,751
16865783,752
16865783,753
37206514,757
37206514,758
37206514,759
47297043,75
37206514,760
37206514,761
37206514,762
37206514,763
37206514,764
37206514,765
37206514,766
37206514,767
37206514,768
37206514,769
40823629,76
37206514,770
37206514,771
37206514,772
37206514,773
37206514,774
37206514,775
37206514,776
37206514,777
37206514,778
24302764,77
36373365,784
36373365,785
36373365,786
36373365,787
36373365,788
36373365,789
24302764,78
36373365,790
36373365,791
36373365,792
36373365,793
36373365,794
36373365,795
36373365,796
36373365,797
36373365,798
36373365,799
29456147,801
29456147,802
29456147,803
29456147,804
29456147,805
36373365,806
36373365,807
36373365,808
36975413,810
36975413,811
36975413,812
36975413,813
36975413,814
36975413,815
36975413,816
36373365,817
36373365,818
29519505,819
29519505,820
29519505,821
29519505,822
29519505,823
29519505,824
29519505,825
29519505,826
29519505,827
29519505,828
29519505,829
29519505,830
29519505,831
29519505,832
29519505,833
27921892,836
35643667,837
35643667,838
35643667,839
35643667,840
35643667,841
35643667,842
35643667,843
30550948,844
30550948,845
30550948,846
30550948,847
30550948,848
35581118,852
35581118,853
35581118,858
35581118,860
35581118,861
35581118,865
35581118,866
35581118,867
35581118,868
35581118,869
24639923,872
24639923,873
24639923,874
33959171,875
33959171,876
33959171,877
33959171,878
27921892,879
27921892,880
27921892,881
26024798,882
35271644,883
35271644,884
35271644,885
35271644,886
35271644,887
35271644,888
35271644,889
26024798,895
26024798,896
34699016,897
34699016,898
34699016,899
46132484,89
34699016,900
34699016,901
34699016,902
34699016,903
34699016,904
34699016,905
34699016,906
34699016,907
34464102,908
34464102,909
34230361,910
34230361,911
34230361,912
24643441,913
24643441,914
24643441,915
13743202,91
23762952,921
23762952,922
27945425,923
31496124,924
31496124,925
13743202,92
ø¿∏Ì»∆_2,930
ø¿∏Ì»∆_2,931
ø¿∏Ì»∆_2,932
ø¿∏Ì»∆_2,933
16734416,934
16734416,935
19395663,936
19395663,937
19395663,938
15322245,939
15322245,940
15322245,941
15322245,942
15322245,943
15322245,944
15322245,945
29963335,946
29963335,947
29827826,948
29827826,949
47662368,94
29827826,950
29827826,951
29827826,952
29827826,953
29827826,954
29827826,955
29296011,956
29296011,957
29296011,958
28978257,959
40248204,95
28978257,960
28978257,961
25313161,962
25313161,963
25313161,964
25894228,965
25894228,966
25894228,967
25894228,968
25894228,969
14426911,96
25894228,970
25894228,971
25894228,972
11091859,973
25313161,974
11244398,975
11244398,976
11244398,977
11244398,978
14426911,97
25313161,988
25313161,989
14426911,98
25313161,991
25313161,992
25313161,993
25313161,994
25313161,995
18960747,996
18960747,997
18960747,999
14426911,99
18120594,9
humbs.db,humbs.d
31982548,1003
30324125,1006
30324125,1007
30324125,1008
28787608,1009
25976524,100
28787608,1010
28787608,1011
18993204,1015
18993204,1016
18993204,1017
18993204,1018
32436264,1019
11949129,101
32436264,1020
32436264,1021
32436264,1022
46318947,1023
46318947,1024
43548321,1025
10969625,1026
10969625,1027
10969625,1028
11949129,102
38077757,1032
38077757,1033
39627566,1034
39627566,1035
46353654,1036
41638918,1038
41638918,1039
41638918,1040
29392399,1045
29392399,1046
29392399,1047
46323709,1048
46323709,1049
10784420,1050
10784420,1051
42758620,1052
11911186,1053
11911186,1054
11911186,1055
11911186,1056
43747229,1057
43747229,1058
43747229,1059
39883931,1060
41292994,1061
41292994,1062
41292994,1063
36907249,1064
36907249,1065
45909504,1066
45909504,1067
19509486,1068
14223244,1069
13217741,106
13682958,1070
13682958,1071
13682958,1072
37947187,1073
37947187,1074
37947187,1075
37947187,1076
37947187,1077
25836190,1079
13217741,107
12597095,1084
12597095,1085
12597095,1086
23875764,1087
23875764,1088
23875764,1089
13217741,108
13217741,109
23740558,10
11623799,1101
11623799,1102
15823623,1103
15823623,1104
15823623,1105
46106726,1106
32138089,1107
46064536,1109
46064536,1110
46064536,1111
24769367,1112
45624322,1117
45624322,1118
45624322,1119
32917213,1121
32917213,1122
18226252,1123
18226252,1126
11778219,1127
39278863,1130
39278863,1131
20680448,1133
20680448,1134
45511008,1135
45511008,1136
34550452,113
45905658,1140
40904016,1141
40904016,1142
40904016,1143
22897343,1145
15464132,1149
34550452,114
15464132,1150
15464132,1151
31976916,1152
31976916,1153
32726518,1155
32726518,1156
25834411,1160
13273804,1162
13273804,1163
45801282,1164
45801282,1165
44320487,1166
29050626,1170
29050626,1171
29050626,1172
13939863,1173
26424901,1176
26424901,1177
45794827,1178
45794827,1179
18121441,117
45794827,1180
13734284,1181
13734284,1182
13734284,1183
13734284,1184
13734284,1185
13734284,1186
13734284,1187
13734284,1188
13734284,1189
18121441,118
13734284,1190
13734284,1191
13734284,1192
13734284,1193
13734284,1194
13734284,1195
13734284,1196
43362907,1197
43362907,1198
27042225,1199
18121441,119
23740558,11
21177495,1200
21177495,1201
21177495,1202
21177495,1203
21177495,1204
21177495,1205
21177495,1206
21177495,1207
21177495,1208
21177495,1209
21177495,1210
21177495,1211
21177495,1212
21177495,1213
21177495,1214
21177495,1215
21177495,1216
21177495,1217
21177495,1218
21177495,1219
21177495,1220
21177495,1223
45699357,1227
45699357,1228
27255867,1229
27255867,1230
45128622,1231
45128622,1232
44491079,1233
44491079,1236
44491079,1237
44491079,1238
44907916,1239
23379552,123
44907916,1240
44907916,1241
36593727,1242
36593727,1243
45638282,1244
45601831,1246
45601831,1247
45601831,1248
25561124,1249
23379552,124
43206658,1250
43206658,1251
43206658,1252
43206658,1253
36017975,125
29970395,1260
26281344,1263
26281344,1264
21053809,1265
33982258,1266
33982258,1267
33982258,1268
13944562,1269
36017975,126
13944562,1270
13944562,1271
13944562,1272
13944562,1273
45524871,1274
45524871,1275
45534784,1276
45534784,1277
45534784,1278
45534784,1279
45534784,1280
45534784,1281
45534784,1282
45534784,1283
20111485,1284
28002592,1285
28002592,1286
28002592,1287
16204681,1288
16204681,1289
22260941,128
16204681,1290
45530371,1291
45530371,1292
10511639,1294
10511639,1295
10511639,1296
42699233,1298
42699233,1299
45462586,1300
45462586,1301
45462586,1302
45462586,1304
45462586,1305
45462586,1306
45462586,1307
29546817,1308
34414835,1309
34854572,130
34414835,1310
34414835,1311
43897357,1315
43897357,1316
27878549,1319
34854572,131
27878549,1320
45353202,1325
36550559,132
15484129,1335
32865103,1336
32865103,1337
45151862,1338
45151862,1339
14745636,133
45151862,1340
31065753,1341
31065753,1342
42632937,1348
42632937,1349
14745636,134
42632937,1350
11202969,1351
11202969,1352
11202969,1353
45331769,1354
45331769,1355
45331769,1356
15247894,1358
15247894,1359
14745636,135
15247894,1360
15247894,1362
20239941,1363
20239941,1364
20239941,1365
20239941,1366
20239941,1368
20239941,1369
14503010,136
20239941,1370
20239941,1371
24536923,1374
24536923,1375
23138186,1376
18703557,1379
14503010,137
44756822,1381
44756822,1382
44756822,1383
45288175,1384
21726734,1385
21726734,1386
21726734,1387
38104750,1388
38104750,1389
29992775,138
38104750,1390
45283815,1394
45283815,1395
40054702,1396
40054702,1398
40414917,1399
29992775,139
37604219,13
40414917,1400
42815321,1402
42815321,1403
28571663,1404
28571663,1405
27177099,1406
27177099,1407
24596608,1408
24596608,1409
12481873,140
24596608,1410
44574626,1412
40108382,1413
40108382,1414
12481873,141
45204108,1420
26901282,1425
26901282,1426
26901282,1427
26901282,1428
44575737,1432
44575737,1433
14654677,1435
34652031,1436
34652031,1437
26690380,1439
26690380,1440
21863828,1442
21863828,1443
21863828,1444
21004256,1446
28607461,1447
28607461,1448
28607461,1449
28607461,1450
24451712,1452
24451712,1453
24451712,1454
24451712,1455
24451712,1456
24451712,1457
24451712,1458
43945814,1459
43945814,1460
43945814,1461
43945814,1462
43945814,1463
13939863,1464
13939863,1465
13939863,1466
28002592,1467
28002592,1468
28002592,1469
45079270,1477
34453119,1480
34453119,1481
11160995,1482
11160995,1483
11160995,1484
11160995,1485
17097141,1486
17097141,1487
35523749,1488
35523749,1489
32322721,1491
23050510,14
14004513,1500
14004513,1501
31446369,1504
31446369,1505
31446369,1506
12481873,150
11425779,1510
11425779,1511
22905042,1514
22905042,1515
22905042,1516
22905042,1517
12481873,151
22905042,1520
22905042,1521
22905042,1522
22905042,1523
22905042,1525
11336141,1528
11336141,1529
11336141,1530
30554337,1531
30554337,1532
30554337,1533
44975849,1534
44975849,1535
44975849,1536
44975849,1537
44975849,1538
44975849,1539
12481873,153
44975849,1540
35203595,1541
35203595,1542
23779804,1543
23779804,1544
13332253,1545
13332253,1546
26955892,154
12381601,1550
12381601,1551
12381601,1552
11979740,1553
11979740,1554
44881773,1555
44881773,1556
30079045,1558
30079045,1559
26955892,155
30079045,1560
13711089,156
13711089,157
12060454,1582
12060454,1583
44795098,1587
44843586,1588
44843586,1589
47085358,158
44843586,1590
26130484,1591
26130484,1592
14101724,1598
14101724,1599
47085358,159
21838093,15
14101724,1600
41853539,1601
41853539,1603
13094520,1608
13094520,1609
44849964,1610
17410225,1611
17410225,1612
44346782,1617
36447095,1618
36447095,1619
18675467,161
36447095,1620
36447095,1621
44762182,1626
29677292,1629
18675467,162
29677292,1630
13399441,1636
31438870,1640
31438870,1642
22743059,1644
22743059,1645
22743059,1646
22743059,1648
22743059,1649
22743059,1650
22743059,1651
22743059,1652
17551955,1654
17551955,1655
17551955,1656
34054606,1657
34054606,1658
34054606,1659
18675467,165
34054606,1660
31591409,1661
31591409,1663
42333401,1666
42333401,1667
42333401,1668
44722209,166
44722209,167
44553674,1681
44553674,1682
13414395,1684
13414395,1685
40171551,1688
44546537,1689
44722209,168
44546537,1690
11006301,1691
23749694,1694
23749694,1695
31547914,1696
31547914,1697
20573348,1699
37440477,16
20573348,1700
20573348,1701
20573348,1702
26379962,1704
26379962,1705
44089616,1706
44089616,1707
44089616,1708
32917213,1709
31588232,1711
12165830,1713
12165830,1714
20864532,1715
20864532,1716
44500788,1718
44500788,1719
10984314,171
21492536,1720
21492536,1721
21492536,1722
21492536,1723
31911229,1724
31911229,1725
31911229,1726
31911229,1727
38488650,1729
38488650,1730
38488650,1731
38488650,1732
44436685,1733
44436685,1734
44436685,1735
44436685,1736
44436685,1738
48571023,173
23030383,1741
10987577,1743
10987577,1744
38518669,1745
38518669,1746
44420572,1749
15036823,174
44420572,1750
17570305,1751
24798062,1753
24798062,1754
44423230,1758
44423230,1759
15036823,175
44423230,1760
17990118,1761
30721360,1762
12446135,1765
12446135,1766
12446135,1767
44384102,1768
44384102,1769
48529813,176
44384102,1770
44384102,1771
44384102,1772
44384102,1773
44384102,1774
44384102,1775
36601938,1776
36601938,1777
36601938,1778
36601938,1779
42466611,1783
42466611,1784
42466611,1785
14221572,1786
44373195,1787
48529813,178
28138299,1791
28138299,1792
28138299,1793
28138299,1794
28138299,1795
44356758,1796
44356758,1797
44356758,1799
48529813,179
37440477,17
44356758,1800
44356758,1801
44356758,1802
44356758,1803
44356758,1804
44172082,1805
44172082,1806
44172082,1807
44172082,1808
44172082,1809
16538771,180
18256378,1810
18256378,1811
18256378,1812
18256378,1813
38652932,1814
38652932,1815
28050180,1816
28050180,1817
28050180,1818
28050180,1819
16538771,181
28050180,1820
28050180,1821
28050180,1822
11806208,1823
11806208,1824
11806208,1825
11806208,1827
11806208,1828
16538771,182
42823005,1832
19028103,1833
19028103,1834
19028103,1835
38729539,1839
16538771,183
38729539,1840
38729539,1841
16558876,1846
16558876,1847
44222103,1848
25616505,1849
25616505,1852
25616505,1853
25616505,1854
25616505,1855
25616505,1856
25616505,1857
25616505,1858
25616505,1859
25616505,1862
25616505,1863
21407831,1864
21407831,1865
21407831,1866
30593712,1869
30593712,1870
30593712,1872
11113843,1873
11113843,1874
11113843,1875
29675056,1876
29675056,1877
29675056,1878
43024700,1879
38691014,1880
38691014,1881
38691014,1882
16273346,1883
16273346,1884
37780416,1885
37780416,1886
39343279,1887
39343279,1888
39343279,1889
31755436,188
13571128,1890
13571128,1891
44079501,1892
44079501,1893
44079501,1894
44079501,1895
44079501,1896
31755436,189
37440477,18
34289464,1901
29701900,1902
15737133,1903
15737133,1905
34602036,1906
42525053,1908
42525053,1909
48487281,190
17107055,1910
17107055,1911
13248271,1913
13248271,1914
48286729,191
44073495,1927
44073495,1928
44073495,1929
48286729,192
44073495,1930
18291092,1933
42671273,1934
42024341,1935
42024341,1936
43661673,1937
43661673,1938
40416386,1939
48286729,193
40416386,1940
12577907,1942
12577907,1943
12577907,1944
43755725,1947
39600112,1956
39600112,1957
12152593,1958
12152593,1959
10720945,1960
43981942,1962
43981942,1963
43981942,1968
43981942,1969
28433785,196
43981942,1971
43981942,1972
43981942,1973
43981942,1974
43981942,1975
43981942,1976
11197618,1977
11197618,1978
28433785,197
34620111,1980
34620111,1981
34620111,1983
34620111,1984
38089837,1988
38089837,1989
25883970,1992
22469298,1994
22469298,1996
22469298,1997
37440477,19
13003360,1
10734735,2000
10734735,2001
10734735,2002
32102206,2005
32102206,2006
32102206,2007
15485812,2008
15485812,2009
39850443,200
11410753,2013
11410753,2014
39850443,201
10986233,2020
10986233,2021
10986233,2022
10986233,2023
31620725,2029
39850443,202
31620725,2030
43682447,2031
43682447,2032
43682447,2033
39990620,2043
39990620,2044
39990620,2045
39990620,2046
39990620,2047
39990620,2048
13869351,2058
13869351,2059
13869351,2060
13869351,2061
30100691,2063
30100691,2064
15088848,2065
15088848,2067
11663463,206
31459637,2075
43786116,2078
43786116,2079
26112176,2086
20459187,2097
20459187,2098
11886583,20
38287749,2100
38287749,2101
43636228,2102
43636228,2103
43636228,2104
25746444,2109
25746444,2110
25746444,2111
20597616,2112
20597616,2113
13977137,2114
10665048,2116
10665048,2117
25429004,2118
25429004,2120
12935938,2121
37700357,2122
37700357,2123
37700357,2124
43499133,2125
43499133,2126
43499133,2127
43499133,2128
43499133,2129
43420252,2136
43420252,2137
24490281,2140
24490281,2141
37885544,2142
43356438,2143
43356438,2144
10740949,2145
10740949,2146
10740949,2147
39450045,2149
24143802,2153
24143802,2154
11522827,2159
10817089,215
43219577,2164
43219577,2165
43219577,2166
43274923,2172
43274923,2173
43274923,2174
43247666,2176
43247666,2177
43247666,2178
22288064,217
18514694,2186
18514694,2187
18514694,2188
31406897,2189
15945864,218
31406897,2190
11418447,2191
11418447,2192
11418447,2193
11418447,2194
11418447,2195
33103620,2196
33103620,2197
33103620,2198
33103620,2199
15945864,219
11886583,21
33103620,2200
33103620,2201
30145245,2202
30145245,2203
27935923,2210
43040492,2211
43040492,2212
43144774,2213
24704702,2214
24704702,2215
13084530,2216
13084530,2217
32181230,2220
32181230,2221
32181230,2222
42823005,2223
12821875,2233
17695211,2237
42973917,2239
42973917,2240
42950224,2241
42950224,2244
39541321,2245
39541321,2246
21147728,2247
21147728,2248
17874982,2249
17874982,2250
17874982,2251
17874982,2252
17874982,2253
18686443,2254
18686443,2255
12577907,2257
12577907,2258
42895923,2259
39792369,225
42821960,2263
25348648,2264
25348648,2265
11842761,2266
11842761,2267
11842761,2268
11842761,2269
39792369,226
20142845,2270
19134015,2274
27115673,2277
27115673,2278
14943199,2279
39792369,227
14943199,2280
29836217,2283
42794950,2284
12214592,2286
12214592,2287
21657960,2289
19627276,228
21657960,2290
21657960,2291
42729552,2296
42729552,2297
33967204,22
14823529,2300
14823529,2301
14823529,2302
42280095,2303
42280095,2304
37215811,2307
37215811,2308
15957191,2320
15957191,2321
37187017,2323
37187017,2324
17911759,2325
17911759,2330
17911759,2331
17911759,2332
17911759,2333
17911759,2336
17911759,2337
38349096,2338
38349096,2339
45200663,233
23401310,2342
23401310,2343
11037033,2344
11037033,2345
36917967,2347
36917967,2348
36917967,2349
42566472,2350
42566472,2351
42566472,2352
28046167,2353
28046167,2354
42584393,2361
42584393,2363
42584393,2364
42584393,2365
42584393,2366
33779717,2367
33779717,2368
48306197,236
33779717,2370
42100618,2372
38089837,2373
16529614,2374
16529614,2375
10747205,2376
11112097,2377
11112097,2378
40913577,2379
40913577,2380
40913577,2381
40913577,2382
25367315,2383
25367315,2384
25367315,2385
19680789,2387
19680789,2388
16820108,2389
48306197,238
16820108,2390
16820108,2391
35082217,2392
15850454,2394
42405003,2397
42405003,2398
31188339,2399
48306197,239
33967204,23
31188339,2400
32495504,2407
32495504,2408
39096698,2409
22743059,240
39096698,2410
42249126,2414
42249126,2415
42249126,2416
42249126,2417
22743059,241
42249126,2423
42249126,2424
42273066,2426
42273066,2427
12334977,2429
22743059,242
12334977,2430
41854051,2431
41854051,2432
41854051,2433
34619933,2434
22768894,243
30995697,2441
30995697,2442
30995697,2443
10990395,2444
10990395,2445
42231473,2446
42231473,2447
42231473,2448
22768894,244
35175607,2452
35175607,2453
35175607,2454
34963058,2455
34963058,2456
34963058,2457
34963058,2458
34963058,2459
35895158,2460
35895158,2461
10659733,2462
10659733,2463
42115595,2464
42115595,2465
42146063,2467
30129197,246
30129197,247
42124436,2480
20301459,2481
20301459,2482
10871658,2483
16798922,2489
45758566,248
16798922,2490
18581485,2492
38654697,2493
38654697,2499
45758566,249
15537270,24
38654697,2503
27552335,2504
27552335,2506
28683225,2509
45758566,250
28683225,2512
28683225,2513
11663564,2514
11663564,2515
11663564,2516
17702979,2517
17702979,2518
17702979,2519
15885885,251
36478929,2521
41910083,2522
41910083,2523
41916269,2524
15885885,252
41812002,2539
41812002,2540
41812002,2541
35489700,2542
35489700,2543
35489700,2544
35489700,2545
35489700,2546
35489700,2547
35489700,2548
35489700,2549
14626920,2550
14626920,2551
14626920,2552
40174930,2554
12984442,2556
12984442,2557
12984442,2558
12984442,2559
20086837,255
12984442,2560
12984442,2561
26281344,2562
15673880,2563
15673880,2564
10723906,2565
37278533,2574
37278533,2575
20012401,2578
20012401,2579
20012401,2580
20012401,2581
20012401,2582
32293568,2583
14430989,2589
40212539,2590
12657199,2591
20486057,2593
20486057,2594
20486057,2595
11454087,2596
11454087,2597
11454087,2598
41414112,2599
38726958,259
15537270,25
41414112,2600
37833769,2601
37833769,2602
38638587,2604
38638587,2605
22321606,2606
22321606,2607
25718045,2608
25718045,2609
38726958,260
24042497,2610
24042497,2611
24042497,2612
24042497,2613
26399245,2616
26399245,2617
26399245,2618
16261800,2619
38726958,261
41172735,2620
41172735,2621
41172735,2622
27873265,2624
41245912,2626
41245912,2627
41245912,2628
41245912,2629
48237020,262
41245912,2630
41245912,2631
41245912,2634
41245912,2635
41245912,2636
41245912,2637
35051888,2638
35051888,2639
48237020,263
40389136,2642
40389136,2643
40389136,2644
41008858,2645
31101767,2646
40707400,2647
40707400,2648
24461113,2649
48237020,264
24461113,2650
24461113,2651
24461113,2652
24461113,2653
24487805,2654
24487805,2655
11710307,2656
11710307,2657
11710307,2658
11710307,2659
11710307,2660
37501505,2662
26236971,2663
26236971,2665
15173195,2668
15173195,2669
46945440,266
26917807,2671
27649880,2676
27649880,2677
39959131,2678
39959131,2679
46945440,267
24360892,2680
24360892,2681
24360892,2682
13749729,2686
21293171,2688
21293171,2689
21293171,2690
35634175,2694
35634175,2695
35634175,2696
11190213,2697
11190213,2698
33115700,2699
44326353,269
15537270,26
33115700,2700
33115700,2701
33115700,2702
19951551,2703
19951551,2704
19951551,2705
40731566,2706
40731566,2707
40731566,2708
27516113,2709
44326353,270
27516113,2710
26053866,2718
26053866,2719
44326353,271
15613390,2720
15613390,2721
39068864,2724
40640312,2726
40640312,2727
35230713,2728
44079950,272
30370700,2731
13463070,2734
34416893,2735
34416893,2737
34416893,2738
34416893,2739
44079950,273
34416893,2740
13043159,2742
11516512,2744
25945063,2746
25945063,2747
25945063,2748
27978773,2749
33366483,2751
33998169,2757
33998169,2758
12560055,275
10582864,2761
10582864,2762
10582864,2763
10582864,2764
21462302,2765
21462302,2766
21462302,2767
21462302,2768
40335975,2769
12560055,276
19630715,2770
38680951,2771
38680951,2772
38680951,2773
38680951,2774
31591409,2777
31591409,2778
12952243,2780
28223111,2781
28223111,2782
28223111,2783
30145245,2789
30145245,2790
31724843,2792
31724843,2793
31650005,2794
31650005,2795
39932439,2797
12560055,279
39932439,2801
39932439,2802
37232669,2808
37232669,2809
22108670,2815
22108670,2816
22108670,2817
22108670,2818
39758073,2819
11980771,2821
29158366,2822
22198510,2824
22198510,2825
22198510,2826
15827593,2827
15827593,2828
39821243,2829
39821243,2830
23523760,2832
23523760,2833
37466633,2834
37466633,2835
37466633,2836
37466633,2837
37466633,2838
37466633,2839
35161211,283
